"","x"
"1",0.13677682789157
"2",8.57577100782821e-13
"3",0.184715814874177
"4",5.37998454012926e-41
"5",1.71314337243273e-06
"6",3.72470299917771e-15
"7",4.49464938045797e-13
"8",0.0121588904033111
"9",0.00494717755814401
"10",8.49918139968122e-243
"11",0.00985414833537112
"12",7.12276870805061e-48
"13",8.45758850975101e-08
"14",3.03546313885072e-253
"15",4.94726466528222e-13
"16",0.0392585777165723
"17",2.23603723927102e-26
"18",0.100857111903434
"19",0.0220169183245088
"20",1.42345569894899e-10
"21",2.76243859673955e-81
"22",NA
"23",2.50807544350852e-11
"24",0.015193855473359
"25",0.0620541118417919
"26",9.28400499864761e-12
"27",6.15003346205049e-10
"28",0.0106258994538209
"29",1.68370837421997e-07
"30",0.00157723304247734
"31",6.69128303622318e-23
"32",2.77899761264596e-12
"33",8.7415852117129e-24
"34",1.40423000661211e-106
"35",0.441771743423211
"36",7.47011893095753e-19
"37",9.42296015146333e-06
"38",8.65342080773858e-43
"39",1.59599700031697e-09
"40",3.00009982845787e-09
"41",0.0171536857826035
"42",0.931756341188489
"43",8.7851665613957e-11
"44",1.36755657780204e-24
"45",1.58117439079105e-10
"46",0.0210149113160447
"47",0.878960135731353
"48",2.0429343856566e-35
"49",0.697867853002998
"50",0
"51",3.69636723710295e-27
"52",0.220721234198184
"53",0.0497536902197544
"54",0.235084851687508
"55",7.1928241622756e-24
"56",NA
"57",7.37560807150233e-10
"58",5.20531564796569e-11
"59",4.71500776183145e-12
"60",2.37606561061793e-13
"61",1.45845803040868e-26
"62",9.29302168468635e-100
"63",0.0170609317783413
"64",5.77329279375173e-30
"65",3.8006972919856e-19
"66",2.98010513039138e-110
"67",0.104015698189776
"68",6.52171510742388e-09
"69",0.00106907591834469
"70",0.188303919745976
"71",0.921539518961656
"72",8.89772125370652e-70
"73",2.76623221779816e-16
"74",0.146368257398591
"75",0.733275265132369
"76",1.00170616675697e-23
"77",0.303441641809569
"78",0.0485435012380415
"79",0.0767916704707577
"80",2.04475855663473e-09
"81",8.58083369542125e-12
"82",3.00444892149965e-05
"83",3.65283200583755e-23
"84",5.36012565629665e-18
"85",1.26289361239462e-27
"86",3.00537243115305e-05
"87",1.60021047999759e-11
"88",2.24537780487101e-27
"89",0.230170767186708
"90",0.00290290078959534
"91",0.403511709609069
"92",0.021964049344958
"93",2.45463873496812e-31
"94",0.0183481008572234
"95",1.36216616141905e-05
"96",1.46003862124883e-07
"97",0.00736339955789071
"98",4.61731681434524e-07
"99",1.96220287325241e-14
"100",3.28586898222695e-11
"101",2.65106815286482e-28
"102",0.00729529373261869
"103",0.000179533254077372
"104",8.43186947485049e-07
"105",0.284512568600802
"106",8.30514672696388e-34
"107",0.00530183550308473
"108",1.69846021931954e-12
"109",6.08031267146578e-12
"110",0
"111",4.63199286937159e-18
"112",0.965648859524563
"113",5.43287315139787e-06
"114",6.37772065387467e-57
"115",0.00103717705862098
"116",1.12625066621665e-07
"117",0.0018081209898023
"118",0.169961344449327
"119",2.28956930754565e-37
"120",0.878961988867668
"121",1.39144113918196e-22
"122",0.623591684633027
"123",1.25408170902371e-33
"124",0.13445936753104
"125",0.799759028902333
"126",0.820080201777386
"127",0.00233676668547296
"128",3.95681178708333e-13
"129",4.26463762241216e-230
"130",4.95779643321627e-24
"131",3.5740322586729e-10
